lon,lat,time,pre,stn,spi_1,spi_3,spi_6,spi_9,spi_12
-73.75,3.75,2004-11-16,562.0,6.0,0.7839910629488329,0.642442329742289,0.5515351123473611,0.7271600892465164,-0.04725812953731403
-73.75,3.75,2004-12-16,356.6,6.0,-0.008238774001921911,0.5269951102394511,0.4687995493609145,0.9823561376530934,0.06894909894397162
-73.75,3.75,2005-01-16,99.4,6.0,-1.7181387676633662,-0.27615929206491185,-0.29401054133320764,0.20424926377206282,0.0785974896337866
-73.75,3.75,2005-02-15,209.1,6.0,-0.8005483830303058,-1.1805162078149305,-0.361968147777313,-0.25960966513982847,0.007181255270119535
-73.75,3.75,2005-03-16,241.7,5.0,-0.5981905816612438,-1.547371044748559,-0.6729331074305018,-0.5075842835784646,0.12606833861882547
-73.75,3.75,2005-04-16,547.7,6.0,0.7357303085087513,-0.3199302820869562,-0.5959771524124974,-0.5766042202697401,-0.08836589244993895
-73.75,3.75,2005-05-16,688.9,6.0,1.1811208302478566,0.625089466140248,-0.37871627851789597,0.04330277891656789,0.08898666830081764
-73.75,3.75,2005-06-16,431.7,6.0,0.30984792992080484,0.9425513027777922,-0.2542013686309546,0.056015600132056,0.1106042389470478
-73.75,3.75,2005-07-16,417.2,6.0,0.2514930649929859,0.727233386246837,0.24350463025229735,-0.06222411757829254,-0.11365751567266087
-73.75,3.75,2005-08-16,644.5,6.0,1.0479735464379383,0.6512629829527256,0.8621566062770933,0.050202583746746944,0.37755106676839034
-73.75,3.75,2005-09-16,398.9,6.0,0.1758843218511682,0.5941848204043984,1.0707899441244104,0.10718810049872354,0.34913027632425364
-73.75,3.75,2005-10-16,588.10004,6.0,0.8700623483435951,0.8829777393818233,1.1232967967691443,0.7360604411379565,0.4508740456914643
-73.75,3.75,2005-11-16,432.1,7.0,0.3114391095669957,0.5207475538848144,0.7817148804588854,1.0068673671114174,0.2932531721163355
-73.75,3.75,2005-12-16,411.9,6.0,0.22982677554396813,0.5439023557027665,0.7545704357454497,1.2075356515670137,0.3606790899033258
-73.75,3.75,2006-01-16,196.5,6.0,-0.8847298264791853,-0.22635401302060726,0.4433733564500827,0.7877808450647289,0.47790850816445773
-73.75,3.75,2006-02-15,129.8,6.0,-1.4099371499529625,-0.9698328817514955,-0.3554508400598403,0.06897739468053674,0.3822786711271371
-73.75,3.75,2006-03-16,600.2,6.0,0.9091279334360115,-0.48676646374125954,-0.02928193476893926,0.2928685383869852,0.807122371800556
-73.75,3.75,2006-04-16,697.60004,6.0,1.2065634142783312,0.535903017221072,0.14036475222063471,0.6513391364921043,0.97932593857559
-73.75,3.75,2006-05-16,732.7,6.0,1.3072100276632477,1.4881276101147338,0.5817342398786032,0.760732642852326,1.0290731350072184
-73.75,3.75,2006-06-16,799.10004,6.0,1.4895565995159856,1.7614620948349013,1.1059297918172968,1.2389159121811728,1.436753211907737
-73.75,3.75,2006-07-16,410.30002,6.0,0.22324966021911014,1.3611516600081393,1.37750524465311,1.0299955308099693,1.429248391568341
-73.75,3.75,2006-08-16,269.5,6.0,-0.440199918115707,0.6261327160065758,1.5489610540654248,0.8340399098894883,1.012632051930674
-73.75,3.75,2006-09-16,251.7,6.0,-0.5399723761675979,-0.4749007580711119,1.112415937378375,0.6360860795468201,0.8441419237033746
-73.75,3.75,2006-10-16,603.3,6.0,0.9190544914002043,-0.04658952277026317,0.9889454614142439,1.1293728972794934,0.8616764285849524
-73.75,3.75,2006-11-16,562.7,6.0,0.7863329504724605,0.5182456260566854,0.7599263206039114,1.6231488382081085,1.0110436132263123
-73.75,3.75,2006-12-16,297.5,6.0,-0.29208429732474256,0.5992650900026337,0.02768437913330017,1.2810310804431213,0.8803301573051906
-73.75,3.75,2007-01-16,53.9,6.0,-2.353068039799723,-0.5163828616600891,-0.5574888732612443,0.5013811336948382,0.7148830333204803
-73.75,3.75,2007-02-15,35.5,6.0,-2.7390230659052617,-2.178111132758751,-0.9804401587723313,-0.44401319408039824,0.6038854695649297
-73.75,3.75,2007-03-16,363.30002,6.0,0.021869485815065308,-1.9043608291559457,-0.7743450094506267,-1.1057205353196795,0.31915979978085196
-73.75,3.75,2007-04-16,787.8,6.0,1.4592186625189423,0.08058448472793683,-0.4508271185222268,-0.5289514496559381,0.42858708743460694
-73.75,3.75,2007-05-16,657.9,5.0,1.08875956713713,1.1627755953071737,-0.29136977932153774,0.018760567175230072,0.3379328901238383
-73.75,3.75,2007-06-16,453.0,6.0,0.3932564674874447,1.29745444353977,-0.0406196275699657,0.287237479393659,-0.0934702685254491
-73.75,3.75,2007-07-16,578.2,6.0,0.8377113932613051,0.9758464137165697,0.7311672723365119,0.25428386302703576,0.11833953793743557
-73.75,3.75,2007-08-16,571.0,6.0,0.8139576607307496,0.8349177399394724,1.4289117265696074,0.2651967820377248,0.48690322615294196
-73.75,3.75,2007-09-16,262.80002,6.0,-0.47720295994555356,0.5080425894712651,1.3037084726669281,0.21946627544643263,0.5001984267037684
-73.75,3.75,2007-10-16,715.10004,6.0,1.2571357729727382,0.7460012429771941,1.2115914332770328,1.0471190033250264,0.6330835199114264
-73.75,3.75,2007-11-16,433.4,6.0,0.31660373334212794,0.5067878545616382,0.9183244507328703,1.5065170361233613,0.4792283232536477
-73.75,3.75,2007-12-16,374.0,6.0,0.06918661550134522,0.7012183268332275,0.8117328227175553,1.5185230909911747,0.5705579960358186
-73.75,3.75,2008-01-16,103.3,6.0,-1.6749850097864074,-0.5245513707678523,0.12737806631136173,0.7124265616086299,0.6290696950187553
-73.75,3.75,2008-02-15,204.3,6.0,-0.8321829263156972,-1.1315975808900567,-0.4641060982168834,0.1286293079798544,0.8263433939115278
-73.75,3.75,2008-03-16,307.5,6.0,-0.24151119199479273,-1.3341652462466196,-0.38845350314796623,-0.06868083385850354,0.7615791265002861
-73.75,3.75,2008-04-16,739.4,6.0,1.3260718248368883,0.20824192935247887,-0.3477742253937893,0.14960857115775378,0.7050476543905605
-73.75,3.75,2008-05-16,1249.2001,6.0,2.529203797019445,1.849641083181838,0.8702509072437613,1.0047189632088898,1.3741516346147438
-73.75,3.75,2008-06-16,719.3,6.0,1.2691556450564816,2.361238570808032,1.3191635670483364,1.532303232878573,1.6613568028833707
-73.75,3.75,2008-07-16,795.3,4.0,1.4793847007246366,2.426833600078065,2.135053245675028,1.6215982637640127,1.8896492019923488
-73.75,3.75,2008-08-16,698.0,5.0,1.2077282079991964,1.7389895190709233,2.6633648053906582,1.9096763513777184,2.0208932441968375
-73.75,3.75,2008-09-16,481.30002,6.0,0.5001603514192491,1.4082557176808839,2.840567972330874,2.0237844040122983,2.24290659630789
-73.75,3.75,2008-10-16,457.4,6.0,0.4101612943760124,0.8914486561707653,2.550852512527676,2.3900909551320115,1.9805592613711975
-73.75,3.75,2008-11-16,648.0,6.0,1.0586786061095177,0.8092615844645161,1.8911773695146543,2.8288353397458357,2.199483361141377
