time,longitude,latitude,tp
2014-08-01,-73.7,4.6,9.614401
2014-09-01,-73.7,4.6,6.849371
2014-10-01,-73.7,4.6,10.503642
2014-11-01,-73.7,4.6,10.395527
2014-12-01,-73.7,4.6,6.414212
2015-01-01,-73.7,4.6,5.916886
2015-02-01,-73.7,4.6,8.965715
2015-03-01,-73.7,4.6,11.698313
2015-04-01,-73.7,4.6,12.033463
2015-05-01,-73.7,4.6,10.730684
2015-06-01,-73.7,4.6,16.495892
2015-07-01,-73.7,4.6,12.260504
2015-08-01,-73.7,4.6,7.7034755
2015-09-01,-73.7,4.6,5.0600767
2015-10-01,-73.7,4.6,5.835801
2015-11-01,-73.7,4.6,12.19564
2015-12-01,-73.7,4.6,6.0574336
2016-01-01,-73.7,4.6,4.7870874
2016-02-01,-73.7,4.6,9.638727
2016-03-01,-73.7,4.6,14.157913
2016-04-01,-73.7,4.6,14.987692
2016-05-01,-73.7,4.6,13.533555
2016-06-01,-73.7,4.6,12.768641
2016-07-01,-73.7,4.6,11.830754
2016-08-01,-73.7,4.6,7.344
2016-09-01,-73.7,4.6,8.173779
2016-10-01,-73.7,4.6,10.219842
2016-11-01,-73.7,4.6,11.54425
2016-12-01,-73.7,4.6,9.211675
2017-01-01,-73.7,4.6,8.811653
2017-02-01,-73.7,4.6,10.933399
2017-03-01,-73.7,4.6,18.0149
2017-04-01,-73.7,4.6,14.171429
2017-05-01,-73.7,4.6,9.871178
2017-06-01,-73.7,4.6,10.819882
2017-07-01,-73.7,4.6,12.682155
2017-08-01,-73.7,4.6,6.8845077
2017-09-01,-73.7,4.6,5.5736227
2017-10-01,-73.7,4.6,8.562989
2017-11-01,-73.7,4.6,10.222547
2017-12-01,-73.7,4.6,8.2764845
2022-01-01,-73.7,4.6,4.0573177
2022-02-01,-73.7,4.6,9.457641
2022-03-01,-73.7,4.6,13.31462
2022-04-01,-73.7,4.6,13.236239
2022-05-01,-73.7,4.6,13.528146
2022-06-01,-73.7,4.6,12.082115
2022-07-01,-73.7,4.6,9.030588
2022-08-01,-73.7,4.6,9.317085
2022-09-01,-73.7,4.6,3.7708135
2022-10-01,-73.7,4.6,3.927581
2022-11-01,-73.7,4.6,4.3627396
2022-12-01,-73.7,4.6,2.0707102
