time,lon,lat,pre
1940-11-16,-73.75,4.75,155.40001
1940-12-16,-73.75,4.75,50.600002
1941-01-16,-73.75,4.75,33.8
1941-02-15,-73.75,4.75,33.7
1941-03-16,-73.75,4.75,19.9
1941-04-16,-73.75,4.75,53.2
1941-05-16,-73.75,4.75,34.2
1941-06-16,-73.75,4.75,68.1
1941-07-16,-73.75,4.75,62.9
1941-08-16,-73.75,4.75,72.4
1941-09-16,-73.75,4.75,55.3
1941-10-16,-73.75,4.75,55.100002
1941-11-16,-73.75,4.75,72.6
1941-12-16,-73.75,4.75,26.2
1942-01-16,-73.75,4.75,24.9
1942-02-15,-73.75,4.75,36.8
1942-03-16,-73.75,4.75,48.8
1942-04-16,-73.75,4.75,92.0
1942-05-16,-73.75,4.75,127.0
1942-06-16,-73.75,4.75,101.1
1942-07-16,-73.75,4.75,91.5
1942-08-16,-73.75,4.75,64.200005
1942-09-16,-73.75,4.75,55.8
1942-10-16,-73.75,4.75,97.4
1942-11-16,-73.75,4.75,59.100002
1942-12-16,-73.75,4.75,49.7
1943-01-16,-73.75,4.75,61.4
1943-02-15,-73.75,4.75,46.4
1943-03-16,-73.75,4.75,53.100002
1943-04-16,-73.75,4.75,119.700005
1943-05-16,-73.75,4.75,90.200005
1943-06-16,-73.75,4.75,156.8
1943-07-16,-73.75,4.75,120.0
1943-08-16,-73.75,4.75,155.1
1943-09-16,-73.75,4.75,37.7
1943-10-16,-73.75,4.75,119.5
1943-11-16,-73.75,4.75,100.4
1943-12-16,-73.75,4.75,45.2
1944-01-16,-73.75,4.75,18.5
1944-02-15,-73.75,4.75,30.2
1944-03-16,-73.75,4.75,48.5
1944-04-16,-73.75,4.75,75.9
1944-05-16,-73.75,4.75,149.7
1944-06-16,-73.75,4.75,171.8
1944-07-16,-73.75,4.75,56.0
1944-08-16,-73.75,4.75,66.3
1944-09-16,-73.75,4.75,36.3
1944-10-16,-73.75,4.75,140.7
1944-11-16,-73.75,4.75,55.4
1944-12-16,-73.75,4.75,41.7
1945-01-16,-73.75,4.75,10.2
1945-02-15,-73.75,4.75,28.6
1945-03-16,-73.75,4.75,23.4
1945-04-16,-73.75,4.75,125.5
1945-05-16,-73.75,4.75,179.90001
1945-06-16,-73.75,4.75,45.7
1945-07-16,-73.75,4.75,102.700005
1945-08-16,-73.75,4.75,86.9
1945-09-16,-73.75,4.75,41.4
1945-10-16,-73.75,4.75,99.6
1945-11-16,-73.75,4.75,148.40001
1945-12-16,-73.75,4.75,68.8
1946-01-16,-73.75,4.75,48.600002
1946-02-15,-73.75,4.75,31.5
1946-03-16,-73.75,4.75,52.0
1946-04-16,-73.75,4.75,115.8
1946-05-16,-73.75,4.75,87.3
1946-06-16,-73.75,4.75,40.5
1946-07-16,-73.75,4.75,93.700005
1946-08-16,-73.75,4.75,60.0
1946-09-16,-73.75,4.75,34.100002
1946-10-16,-73.75,4.75,103.8
1946-11-16,-73.75,4.75,86.8
1946-12-16,-73.75,4.75,33.600002
1947-01-16,-73.75,4.75,35.7
1947-02-15,-73.75,4.75,32.3
1947-03-16,-73.75,4.75,36.9
1947-04-16,-73.75,4.75,43.5
1947-05-16,-73.75,4.75,102.200005
1947-06-16,-73.75,4.75,136.3
1947-07-16,-73.75,4.75,230.8
1947-08-16,-73.75,4.75,113.0
1947-09-16,-73.75,4.75,105.4
1947-10-16,-73.75,4.75,162.2
1947-11-16,-73.75,4.75,49.5
1947-12-16,-73.75,4.75,20.6
1948-01-16,-73.75,4.75,6.6
1948-02-15,-73.75,4.75,20.7
1948-03-16,-73.75,4.75,38.600002
1948-04-16,-73.75,4.75,172.40001
1948-05-16,-73.75,4.75,101.5
1948-06-16,-73.75,4.75,76.6
1948-07-16,-73.75,4.75,94.4
1948-08-16,-73.75,4.75,71.3
1948-09-16,-73.75,4.75,92.4
1948-10-16,-73.75,4.75,78.0
1948-11-16,-73.75,4.75,65.200005
1948-12-16,-73.75,4.75,34.4
1949-01-16,-73.75,4.75,15.0
1949-02-15,-73.75,4.75,19.800001
1949-03-16,-73.75,4.75,73.0
1949-04-16,-73.75,4.75,60.5
1949-05-16,-73.75,4.75,122.9
1949-06-16,-73.75,4.75,172.8
1949-07-16,-73.75,4.75,159.3
1949-08-16,-73.75,4.75,120.3
1949-09-16,-73.75,4.75,77.6
1949-10-16,-73.75,4.75,127.4
1949-11-16,-73.75,4.75,66.8
1949-12-16,-73.75,4.75,29.800001
1950-01-16,-73.75,4.75,31.7
1950-02-15,-73.75,4.75,64.200005
1950-03-16,-73.75,4.75,73.9
1950-04-16,-73.75,4.75,125.8
