lon,lat,time,pre,stn,spi_1,spi_3
-73.75,5.25,1981-02-15,55.100002,8.0,-0.3542806637093765,-1.4879277755798554
-73.75,5.25,1981-03-16,44.100002,8.0,-0.7111468814677341,-1.6666882233295655
-73.75,5.25,1981-04-16,158.2,8.0,1.7447698320123681,0.43067788627230896
-73.75,5.25,1981-05-16,177.1,8.0,2.0198908093156955,1.630328421335162
-73.75,5.25,1981-06-16,97.200005,8.0,0.679924348281805,2.0742666832224392
-73.75,5.25,1981-07-16,49.7,8.0,-0.5226245254236406,1.122459646817222
-73.75,5.25,1981-08-16,89.1,8.0,0.5083424386397478,0.18355298000996054
-73.75,5.25,1981-09-16,58.100002,8.0,-0.26560803911691294,-0.3097334398022045
-73.75,5.25,1981-10-16,134.1,8.0,1.3621979584205466,0.691115969878667
-73.75,5.25,1981-11-16,87.5,8.0,0.47325112241397504,0.6741459514633605
-73.75,5.25,1981-12-16,34.9,8.0,-1.0611289484974,0.42056493200124745
-73.75,5.25,1982-01-16,30.4,8.0,-1.2567382194054795,-0.9535613910949594
-73.75,5.25,1982-02-15,56.4,8.0,-0.3154605882095315,-1.4897978357800645
-73.75,5.25,1982-03-16,80.200005,8.0,0.3075358040392454,-0.7337796597308429
-73.75,5.25,1982-04-16,204.40001,8.0,2.3868602649603172,1.2838840837316425
-73.75,5.25,1982-05-16,89.9,8.0,0.5257329299664887,1.587412274230683
-73.75,5.25,1982-06-16,47.2,8.0,-0.6048606486680442,1.2885526683072095
-73.75,5.25,1982-07-16,46.2,8.0,-0.6386014351818443,-0.49675022197850077
-73.75,5.25,1982-08-16,39.7,8.0,-0.8713670273957055,-1.2832035015900147
-73.75,5.25,1982-09-16,47.3,8.0,-0.6015140179146038,-1.2814473307042742
-73.75,5.25,1982-10-16,122.9,8.0,1.1694681632999926,-0.13896386156531623
-73.75,5.25,1982-11-16,79.700005,8.0,0.29582598781129793,0.34567510282152075
-73.75,5.25,1982-12-16,38.5,8.0,-0.9172163732145515,0.24375541382680224
-73.25,3.75,1980-01-16,34.2,8.0,-1.7532708082560453,
-73.25,3.75,1980-02-15,73.3,8.0,-1.0795232200040494,
-73.25,3.75,1980-03-16,77.5,8.0,-1.025026457014302,-1.8593003709903961
-73.25,3.75,1980-04-16,248.3,8.0,0.34051815140126124,-0.8081296942256815
-73.25,3.75,1980-05-16,238.40001,8.0,0.2839392990018468,-0.25244281352240794
-73.25,3.75,1980-06-16,498.7,8.0,1.4462287573129289,0.7841054822688004
-73.25,3.75,1980-07-16,221.6,8.0,0.18422767153389782,0.7283196980844839
-73.25,3.75,1980-08-16,311.7,8.0,0.6715487967404875,0.8791635196191434
-73.25,3.75,1980-09-16,296.9,8.0,0.5985422212609179,0.44458550865839996
-73.25,3.75,1980-10-16,264.30002,8.0,0.4288756730853642,0.5418767443765522
-73.25,3.75,1980-11-16,123.5,8.0,-0.5349705235253139,0.08577739721150068
-73.25,3.75,1980-12-16,94.200005,8.0,-0.8275564422502835,-0.512567478159448
-73.25,3.75,1981-01-16,13.7,8.0,-2.42482164881814,-1.5757869128633308
-73.25,3.75,1981-02-15,90.9,8.0,-0.8644360322855058,-1.7699520702986824
-73.25,3.75,1981-03-16,86.6,8.0,-0.9139739764677196,-1.8185661438041956
-73.25,3.75,1981-04-16,459.6,8.0,1.301917723192357,-0.042609386460725616
-73.25,3.75,1981-05-16,704.7,8.0,2.1095249752595415,1.2921327691589783
-73.25,3.75,1981-06-16,433.4,8.0,1.2008454583319814,1.861086329234852
-73.25,3.75,1981-07-16,266.30002,8.0,0.43966920505093715,1.5548413334124427
-73.25,3.75,1981-08-16,376.30002,8.0,0.9662998893329151,0.9664006708898977
-73.25,3.75,1981-09-16,266.30002,8.0,0.43966920505093715,0.621501776869707
-73.25,3.75,1981-10-16,265.0,8.0,0.43265942402442953,0.618662824794531
-73.25,3.75,1981-11-16,186.6,8.0,-0.0411400926672498,0.171818621952588
-73.25,3.75,1981-12-16,75.700005,8.0,-1.0481099512438308,-0.36575807228473217
-73.25,3.75,1982-01-16,56.600002,8.0,-1.3223072757221483,-1.1385099683914253
-73.25,3.75,1982-02-15,87.0,8.0,-0.9092915212851413,-1.6453502126924142
-73.25,3.75,1982-03-16,193.1,8.0,0.0027560698824733955,-1.060486169286017
-73.25,3.75,1982-04-16,624.0,8.0,1.8660747654114307,0.6110058589333874
-73.25,3.75,1982-05-16,388.30002,8.0,1.0173817558542129,1.2103545556600555
-73.25,3.75,1982-06-16,192.8,8.0,0.0007523586513561721,1.2098090117240003
-73.25,3.75,1982-07-16,206.0,8.0,0.08699024434446473,0.34297624824730844
-73.25,3.75,1982-08-16,154.2,8.0,-0.277129089117898,-0.28628734414033363
-73.25,3.75,1982-09-16,177.6,8.0,-0.10367325557594083,-0.3329760117807316
